N,SongName,SongString
48,mygodanditwo,bbb+3bbb0bpbb0bbbbbb-3bb+3bb0bb0bbb-3b0bbbb-2bbbbpbb0bb0bbb+2bpbbbbbbbbbb+1bbbbbb0bb+4bb0bb-2bbb-2b-1bbbbbbbbpbb0bb+1bbb+2b+2bbbbbb0bb+3bb0bb-1bbb-2b0bbbb-2bbbbpbb-3bb+3bb+5bb-1bbbbbb-2bb-2bb0bb-2bbb-3b+2bbbbbbbbpbbbbbbbb
49,lifeisarock,bb0bb-2bb+1bb-1bb-3bbbb-2bbbb-2bb+1bb-4bbbb0bbbb-2bb0bbbb-3bbpbb-2bb+1bb+1bb0bbbbbbbb+5b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b+7bbbbbbbb-3bb-2bbbb-2bb0bbpbb0bb0bb+2bb-2bb+2bbbb+5bbbb0bbbbbbbbbbbbpbbbb-7bb0bb+2bb-2bb+2bbbb+2bbbbbbbb-4bbbbbbbbpbbbb0bb0bb+2bb-2bbbb+4bb
50,dakota,b+5b0bbbbbbbb+7bbbb-13bbb+5b0bb0bb0bbbbbbbb-5bb+5bb-2bb+5bb0bb+3bb-2bbpbb-9bbbb+3bbbb+3bbbb+3bbbb-7bb+6bb-2bb+5bb-3bb+5bb-2bb+5bb-14bbbb+4bbbb+2bbbb+3bbbb+4bbbbbbbbbbbbbbbbpbbbbbbbbbbbbbbbb+5bbbbbb-2b+2b-4bbbbbbbbpbbbbbbbb-1bbbbbbbb-1bbbbbbbbpbbbb+7bbpbbbb-7bb+2bb+2bb+2bbbb-6bbpbbbb+9bbbbbbbb+2bbbb+2bb-2bb-5bbbb+3bbbbbbbb-15bb-4bb+2bb-7bbbbpbb+8bbbb-1bb-2bb0bb-4b+2b-2b-3bpbb-2bbb+5b0bbbbbbbbpbbbb+14bbbb+9bb-2bb+2bb-3bbbbpbb-2bbbbbbbbbbbb+1bbbb-1bbbbbbbb-2bbbbbbbb-5bbbbbbbbbbbbbbbb+5bbbbbbbbbbbbbbbb
51,prelude,bbbb0bbbbpbbbbbbbb+5bbbbbbbb+2bbbb+2bbbb-2bbbb-2bbbb-8bbbbbbbbbbbbbbbbbbbbbbbb+15bbbbbbbbbbbb+2bbbb-4bbbb+4bbbb-9bbbbbbbbbbbbbbbbbbbbbbbb+7bbbbbbbb-2bbbb-3bbbb-3bbbbpbbbb-2bbbb+5bbbb-7bbbbbbbbbbbb+2bbbb-2bbbb+7bbbb-7bbbbbbbb+2bbbbbbbb-2bbbb+7bbbb+5bbbbbbbbbbbbpbbbb+2bbbb-5bbbb+5bbbb-5bbbb+1bbbb-1bb-2bb+7bbbb-5bbbb+5bbbb-5bbbb+1bbbb-1bb-2bb+7bbbb0bb0bb0bbbb0bbbb0bb-2bb-2bb+2bbpbbbbbbbbbbbbbbbb-5bbbbbbbb+7bbbb0bb0bb0bbbb0bbbb0bb-2bb-2bb+2bbpbbbbbbbbbbbbbbbb-5bbbbbbbb+7bbbbbbbbbbbbbbbbpbbbbbbbb-5bbbb-9bbbb+5bbbb-5bbbb+2bbbb-2bb-2bb+7bbbb-5bbbb+5bbbb-5bbbb+2bbbb-2bb-2bb+7bbbb+4bb0bb-4bbbb0bbbb0bb-1bb-2bb+2bbpbbbbbbbbbbbbbbbb-6bbbbbbbb+7bbbb0bb0bb0bbbb0bbbb0bb-1bb-2bb+2bb+1bbbbbbbbbbbbbbbbpbbbbbbbb+4bbbb-5bbbb+5bbbb-5bbbb+1bbbb-1bb-2bb+7bbbb-5bbbb+6bbbb-6bbbb+1bbbb-1bb-2bb+7bbbb0bb0bb0bbbb0bbbb0bb-2bb-2bb+2bbpbbbbbbbbbbbbbbbb-5bbbbbbbb+7bbbb0bb0bb0bbbb0bbbb0bb-2bb-2bb+2bbpbbbbbbbbbbbbbbbb-5bbbbbbbb+7bbbbbbbbpbbbbbbbb+3bbbb-5bbbb+5bbbb-5bbbb+2bbbb-2bb-2bb+7bbbb-5bbbb+5bbbb-5bbbb+2bbbb-2bb-2bb+7bbbb0bb0bb0bbbb0bbbb+2bbbb0bbbb-2bbbb0bb0bb0bbbb0bbbb+2bbbb0bbbb-2bbbbbbbbbbbbbbbbpbbbbbbbb+4b+1b+2b-7b+2b+2b+1bbbbbb+2bbpbb+2bbbbbbbb-1bbbb+1bbbb+2bbbb-7bbbb+2bbbb+2bbbb+3b+1b+2b-7b+2b+2b-1bbbbbb+4bb+2bb-2bbpbb-2bbbb-1bbbb-2bbbb-2bbbb-1bbbb+7bbbb-9bbbbbbbbpbbbbbbbb
52,calledlove,bbpbb-6bb-3bb0bbbb0bbbb+3bbbb-2bbbbbbbbpbbbb0bb0b-1bb0b0bbbb0bbbb-4bbbb+1bbbbbbbbpbbbb+6bb0bb-3bb0bbbb0bb+3bb0bbb-1b-1bbbbbbbbpbbbb0bb0b-1bb0b0bbbb0bb-4bb0b0bbb-3bbbbbbbbpbbbb+15bb0bb-3bb0bbbb0bb+3bb0bb+2bb-3bbbbbbbbpbbbb0bb-2bb-4bb0bbbb+1bb+3bb0bb-2bb-3bbbbbbbbpbb+3bb0bb0bb0bb-3bb0bbbb0bb+3bb0b+2bb-2b-2bbbbbbbbpbbbb0bb0bb-1bb0bbbb0bbbb+8bbbb
53,myownsweet,b+2b+2bpb+1bbb+2b+2b+5b-2b-3b-2bb-5bbpb0b+5b-2b-1bbb+1b+2b+7b-2b-5b+1bb+1bbpb-9b+2b+2b+1bbb+2b+2b+5b-2b-3b-2bb-5bbpb+12b+2b-2b-2bbb-1b-1b-3b-5b+2b+1bb0bpb-1b+1b+2b+2bbb+1b-1b-2b-2b-1b+3bb-2bbpb-1b+1b+1b+1bbb-5b+8b-1b-2b-2b-1bbbbpb-4b+2b+2b+1bbb+2b+2b+5b-2b-3b-2bb-5bbpb+12b+2b-2b-2bbb-1b-1b-3b-5b+2b+1bb0bpb
54,lady_divine_pt1,b-5b+2b+2bb-2b-8bbb+1bbb+9b-4b+2b+2bb-4b-3bbb+1bbpb+7b-5b+2b+2bb-2b
55,o_light,b0b0b0bb-2b+2b-2b-2bb-1b+3b0b-2b+2b+2bb0bb0b-2bb+2b-2b-2bb-1b+1bb0bb+2bbb+2b+1bb-1b-2b+2bb+1bb+2bb-3b0b-2bb-2bb-1bb0bb-2bb+2b0b+1bbb0b+5b0b0bb-1bbbpb0bbbpb0b0b0b0b0bb-1b0b+1bb-5bb+1bb+2bb+2bbbpb+3bbb0b0bb-2bbpbbbb
56,light_myLife,pbpbbbbbbbb+3bb-3b+5bb-5b+3bb-3b+5bb-5b+3bb+2b+2bb+1b-7bbbbbpb0bpb+4bb-4bpb+6bb-6b+4bb-4b+6bb-6bpb+4bb+2b+1bb-1b0bpb-7bbbpbb0bpb+3bb-3b+5bb-5b+3bb-3b+5bb-5b+3bb+2b+1bb-1b+5bbbbb0b+2bb-2b-2bb-1b+3bb-2b-3bb-4bb-1bb-2b+6bb-6bpbb+5bbbbbb-3bb+3bb+4bb-2bbbb-5bb+3bb0bbbbbbbbpbb-3bb+3bb+4bb-2bbbb-5bb+1bbbbbbbbbbpbb-3bb+3bb+7bb-1bbbbbb-9bb+3bb+6bb-2bbbb0bb-2bbbb-5bb+5bbbb-4bb+1bb+3bbbbbbpbbbb-3bb+3bb+4bb-2bbbb-5bb+3bb0bbbbbbbbpbb-3bb+3bb+3bb-1bb0bb-2bb-2bbbbbbbbpbbbb-3bb+2bb+1bb+11bbbb-2bb-2bb-8bb+3b0bpb+4bbbb-2bb+8bbbbpbb0bb+2bb-3bb-4bbbbbb0bbbb
57,tillyou,pbbbbbbbb+8bbbb-8bbbb+3bbbbbb-2bb0bbbbbbbbpbbbb-3bbbb+9bbbb-9bbbb+3bbbb-1bbbb0bbbbbbbbpbbbb0bbbb+5bbbb+3bbbb+4bbbbbb+1b-1b-2bbbbbbbb0bbbbbbbbpbbbb0bbbb-3bbbbbbbbbbbbbbbbpbbbb-7bbbb+8bbbb-8bbbb+3bbbbbb-2bb0bbbbbbbbpbbbb-3bbbb+9bbbb-9bbbb+3bb-1bb0bbbb0bbbbbbbbpbbbb0bbbb+5bbbb+3bbbb+2bbbbbbbb-2bbbbbbbb0bbbbbbbbbbbbbbbb-1bbbb
58,twilightwaltz,pbbbb0bb-12bbbbbb+24bbpbb-24bb-2bb+2bbpbb+10bb0bb-12bbbbbbpbb+12bb0bb-12bbbbbbpbb+12bb0bb-12bbbbbb+24bbpbb-24bb-3bb+3bbpbb+11bb+12bb-24bbbbbb+24bb-12bb0bb-12bbbbbbpbb+10bb+12bb-24bbbbbb+24bbpbb-24bb-2bb-3bbpbb+20bb+12bb-30bbbbbb+30bbpbb-30bb-2bb-2bbpbb+10bb+12bb0bbpbb+2bb+2bb+3bb-12bb-12bbpbb+21bb+3bb-12bbbbbb+12bbpbb-12bb-3bb+3bb+7bb0bb+4bbpbb0bb-12bbbbbb-6bb+2bb+2bb+2bbbbbb0bb+1bb-1bb-7bbbbbbpbb+17bb+3bb-15bbbbbb+17bb-2bb-3bb-12bbbbbbpbb+10bb0bb-12bbbbbb+12bbpbb-12bb-2bb-3bbpbb+14bb+3bb-15bbbbbb+17bbpbb-17bb-2bb-2bbpbb+11bb+12bb-24bbbbbb+24bbpbb-24bbpbb+13bb+2bb+15bbbbbb-20bbb+2b0b+1b+4bbb-2b0b-1b+3bbb-2b0b-1b+1bbbbbb-10bbb+1b+1b+1b+4bbb-2b0b-1b+3bbb-2b0b-1b+1bbbbbb
59,desert_song,bb+1bb+6bb-2bb0bbbb-8bb+1bbbb+2bb+1bbbbbb0bb+7bb-1bb0bbbb-8bb+1bbb0b+1b+1b+1bbbbbb+1bb+8bb-2bb+2bbbb-4bb0bb-9bb+1bb+7bbbb-2bb0bb+7bb-5bb-2bbbb-2bb+2bbbb-2bb-3bbbbbb+1bb+6bb-2bb0bbbb-8bb+1bbbb+2bb+1bbbbbb0bb+7bb-1bb0bbbb-8bb+1bbbpb
60,littlespanishtown,pbbbbbbbb+4bb+3bb+3bb-2bb-1bb0bbb-2b-2b-1b-2bbbbbb+7b-9b+5b+4p-2b-2b+2b-7b+4b+3p-2b-1b+1b-5b+9b-4b+9b-2b+5bbbbpbb-17bb+2bb+3bb-1bb+1bb+2bb+2b-2b-2bbbbbb-8b+1b+2b+2b-5bbbbbbbb0b+1b+2b+2b-4bbbbbbbbpbbbb+4bb+2bb+3bb-1bb+1bb+2bb+1b-1b-2bbbbbb-5b+2b+1b-3b+5bbbbbbbb-5b+2b+1b-3b+5bbbbbb+1bbbbbb+1b-9b+5b+4p-2b-2b+4b-9b+5b+4p-2b-2b+2bbbbbbbbpbbbb0b-7b+4b+3p-2b-1b+3b-7b+4b+3p-2b-1b+1bbbbbbbbpbbbb-5bb+2bb+3bb-1bb-2bb-2bb+10bbbbbbbb-1bb-2bb+3bbbbbb+2bbbbbb-3bbbbbbbbpbbbb0b-9b+5b+4p-2b-2b+4b-9b+5b+4p-2b-2b+2bbbbbbbbpbbbb+3b-9b+3b+6p-1b-2b+3b-9b+3b+6p-1b-2b+2bbbbbbbbpbbbb-7bb+4bb+3bb+3bb-2bb-1bb0bbb-2b-2b-1b-2bbbbpbb+7b-9b+5b+4p-2b-2b+2b-7b+4b+3p-2b-1b+1bbbbpbbbbbbbb+4b-9b+5b+4p-2b-2b+4b-9b+5b+4p-2b-2b+2bbbbbbbbpbbbb0b-7b+4b+3p-2b-1b+3b-7b+4b+3p-2b-1b+1bbbbbbbbpbbbb-5bb+2bb+3bb-1bb-2bb-2bb+10bbbbbbbb-1bb-2bb+3bbbbbb+2bbbbbb-3bbbbbbbbpbbbb0b-9b+5b+4p-2b-2b+4b-9b+5b+4p-2b-2b+2bbbbbbbbpbbbb+3b-9b+3b+6p-1b-2b+3b-9b+3b+6p-1b-2b+2bbbbbbbbpbbbb-7bb+4bb+3bb+3bb-2bb-1bb0bbb-2b-2b-1b-2bbbbpbb+7b-9b+5b+4p-2b-2b+2b-7b+4b+3p-2b-1b+1bbbbbbbbbb
61,whisper,bbbb-1bbbb-7bb+3bbbbbb+4bb0bb-2bbbb+2bb-2bbbbbb-5bb+3bb0bbbb0bb0bb-2bbbb-1bb+1bbbbbbbbpbbbb0bbbbpbb0b0b+7bb-3bbbb-4bb+7bbbbbb0bb-1bb-4bbbb-3bb+7bbbbbb-7bb+5bbbbbb0bb0bb+2bbbb+1bb
62,youdbesonice,bb+5bbpbbbb-2bbbbbbbb0bbbb-1b-2bb-1b+1bbbb-5bbbb0bbbb-1bb+1bb+5bbbbbbbb-2bbbb0b-3bb-2b-2bbbbbbbb0bbbb+2bb+2bb+1bbbbbb0bb-1bbbb0b+4bb+3b+3bbbbbb-3bb+1bbbb0b+2bb+1b+1bbbbbb-4bb+3bbbb-3bbb-1b0bbbbbbbb0bbbb-2bb+2bb+1bbbbbbbb-1bbbb0b-2bb-1b+1bbbb-5bbbb0bbbb0bb+1bb+4bb+3bb-3bbbb
63,pourtoi,b0b-7b0bbpbb0b+2bpbb-1b-2b+7b-7b0bbpbb0+2+1bb0b-1b-2b+7bbb+5bbbb-2b0bb0b+2b-2bb-2b-1b0bbpbb
64,whilewedream,b-1b-2b-2b+2bbb-2b-7b+2b+2bbbbbb0bbbb0b+3b+2bbbb-4b+4b+2bbbb-4bb+7bbbbbb-2bbpbb-8b0b+8bbbb-8b+3b+4bbbb-2bb-5bbbbbb0bbbb0b+3b+5bbbb-8b+3b+4bbbb-2bb-4bbbbbb0bb-1b+1bpbb+9bbb0b0b0b-2bbbb-10b+3b+7bbb-10b+3b+4b+2bbbb
65,vagyok,pbb+2b-2b+5b-3b-2b-3b-2bbbbbbbbpb0b+2b-2b+5b-3b-2b-3b-2bbbbbbbbpb-2b0b+2b0b+3b0b-3b+3bb0bb0b-3b+3b-3b+2bb0bb0b-4b+4b-4b+2bbbbbbbbpb+10b+2b-2b+5b-3b-2b-3b-2bbbbbbbbpb0b+2b-2b+2b-2b+2b-2b-2bbbbbbbbpb0b0b+2b0b-2b+2b+1b+1bbbbbbbbpb0b+5b-5b+3b-3b-9b+2b+3bbbbbbbb
66,mizpahshalom,pb+1b+4b+3b+5bbbb+2b+2b-5bbbb-2b+2b+1bbbbbb-3bb-11b+1b+3b+3b+6bbbb+1b+2b-5bbbb+2b-2b-5bbbbbb0bb+1bbbb+4bbbbbb-2bbb-3b+3b-2b0bbbb0bb+4bb+2bb+1bb+2bbb-3b-2-2bp+8bbbb-4b-2b-2bbbbbb0bb-8b+1b+4b+3b+5bbbb+2b+2b-5bbbb-2b+2b-2bbbbbb0bb
67,idreamed,pbb+5bb-1bb+1bb-1bb+1bb-1b+1b0bbb-1b-2bb-2bb+2bb-2bb+2bb-2b+2b0bbb-2b-2bb-1bb+1bb-1b0b+1bb-1bb-2bb-2bb+7bbbbbbbb0bbbbpbb+2bb+5bb-2bb+2bb-2bb+2bb-2b+2b0bbb-2b-1bb-2bb+2bb-2bb+2bb-2b+2b0bbb-2b-2bb+2bb+2bb-2bb-2bb+2bb0bb-4bb+2bbbbbbbbpbb0bb+5bb-1bb+1bb-1bb+1bb-1b+1b0bbb-1b-2bb-2bb+2bb-2bb+2bb-2b+2b0bb-2b0b-2bb-1bb+1bb-1bb+1bb-1bb-2bb-2bb+7bbbbbbbb0bbbbbbbb
68,messiah,pbb-1bb-2b-2bb+2b+2bbb+1bbb+2bb-3b+3bbb0bb0b-2bb-1b-2bbbbbb0bbb+3bb-1b-2bbbbbb0bbbpbb+3bb-1b-2bb+2b+1bbb+2bbb+2bb-4b+4bbb0bbb+2bbb+1bb-5b-3bbb0bbb+3bb-2b-1bbbbbb0bbbpbb0bb-2b-2bb+2b+2bbb+1bbb+2bb-3b+3bbb0bbb+2bbb+1bb0b-1bb-2b-2bbb-1bbb+5bbbbbb0bbpb
69,itallcomes,pbbbbbbbbpbb0bbb0b0bb-4bb-1bbbb0bbb-2b+2b0b+3b-2b-3bbb0b+2b0b+3b-2b-3bbb-5b+3bbbbbbbb0bbbbbb+9bb0bbb0b0bb-4b-3bpbbbbbbbb
70,getoveryou,bb-2bb-3bb-2bb-2bb-3bb-2b+2b+3b-3b
71,es,bpb+3b0b-2b0b-1b0b-2b+2b+1b-6bb+3bbbbpb+3b0b-1b0b-2b0b-2b+2b+2b-5bb+3bbbbpb+3b0b-1b0b-2b0b+2b+1b-3b+3bb-1bbbbbb0bbbbpbbbb+5bbbb0b0b0b+8b0b-1b0b-2b0b-2b0b-1b-7bb+3bbb0b0b+9b0b-2b0b-2b0b-1b-2b-2b-3bb+3bbb+2b0b+5b0b-2b0b-1b0b-2b-2b-2b+4bbbb-2bbbb0bbbbbbpbb+2bbbbbbpb0b+8b-1b0b-2b0b-2b0b-1b-7bb+3bbbbpb0b+9b-2b0b-2b0b-1b-2b-2b-3bb+1bbbbbbpbb-3bb+2bb+1bb-3bb-2bbbbbb0bbbbbbbbpbbbbbbbb
72,iloveyouyesido,pbbbb0bb0bb0bbb-3b0bbbb0bb+2bb0bb0bb0bbb-4b-4bbbbbb-3bb+5bb-2bb0bbb-2b0bbbbpbbbb-5bb+2bb
73,kalamazoo_warren,bbbb0bbbb0bb0bb0bbbb0bb0bb0bbbb0bb0bb0bbbb0bb0bbb+4b+3bb+5bb0bbbbbbbb0bbbbbbbb-3bbbbbbbb-2bbb-7b0bb0bb0bbbbbbbb0bbbbbbbbpbbbbbb+7bb0bbb-2b-3bb+5bb0bbb-2b-3bb+5bb0bbb-2b-3bb+5bb0bbbbbb-2bb-1bbb-4b0bb0bb0bb0bbbb0bb0bb0bbbb0bb0bb0bbbb0bb0bbb+4b+3bb+5bb0bbbbbbbb0bbbbbbbb-3bbbbbbbb-2bbb-7b0bb0bb0bbbbbbbb0bbbbbbbbpbbbbbb+7bb0bbb-2b-3bb+5bb0bbb-2b-3bb+5bb0bbb-2b-3bb+5bb0bbbbbb-2bb-1bbb-4b0bb0bb0bb0bbbb0bb0bb0bbbb0bb0bbpbb
74,keeponsingingtwo,bbpbb+9bb0b0b0bb0bb+1b-1bbb0bbb-4b+2bbb-2b+2b+2bbb-7bbbb0bbb0b+5bb0b-2b+2bb0bb+2b-2bbb0bbb-7b+2b+3b0b-3b+3b-5b+2b-2b0bbbb0bbb0b+9bb0bb0bb0bb+1bb-1bb0bb0b-4b+2b0bbb0bb+2bb-7bbbb0bbb0b+5b0b0bb0bb-2b+4b0b-2bbb0b-7b0b0b+2bb+3b-3b+3b+2bb-2b0bbbb0bb+2bb+2b0bbb-2b-2bbb+4b0bbb-2b-2bb0b+2b-2b+2b-2b+2bb+2bb-7bbbbbbbb+5bb0b-2b+2b-2b+2b-2b+4b0bbb-2b-7b0b0b+2bb+3b0b0b-3b+3bb0bbbbpbbbb
75,beginthebeguine,pbbbbbbbbbbbbbbbbbbbb+2bbbb+5bbbbbbbb0bbbbbbbb0bb-3bbbb-2bb+2bbbbbbbbbbbbbbbb0bbbbbbbb+1bbpbb-5bbbb0bbbb+2bbbb+7bbbbbbbb+2bbb-2b+2bbb-2b+2bbb-2b+2bbb+1b+2bbb-1b+1bbbb-2bb-1bbbbbb-2bbb-1b+1bbb+2b+1bbb-1b+1bbb+2b+1bbbb-1bbbb-2bb-1bbbbbb-2bbbbbbbb0bbbb-2bb-2bb0bbbb0bbbb0bbbb0bbbb0bbbb-3bbb+2b+1bbb-1b-2bbb+2b+1bbb-1b-2bbb+2b+1bbb+2b-2bbb-3b-2bbbbbbbbbbbbbbbb
76,reich,pbbb+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpb+5bpb-2bpb-1bpb-2bpbbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpbbb0b+2b+1b-1b-2bpb+5bpb-2bpb-1bpb-2bpbbb0b+2b+1b-1b-2b0bbb0b+2b+1b-1b-2b0bbb0b+2b+1b-1b-2b0b+5bb-2bb-1bb-2b0bbb0b+2b+1b-1b-2b0bbb0b+2b+1b-1b-2b0bbb0b+2b+1b-1b-2b0b+5bb-2bb-1bb-2b0b
77,kalamazoo_arnstein,bbb-5bbb0b-3bbbb0bbb0b0bb-4bb+4bb+3bb-7bb-5bb+5bb+4bb0bb-4bb+4bb+3bb-7bb-5bb+5bb+4bb+8bbpbb-5b+2b+2b-4bbpbb+5bbbbpb0b+2b-2bpb-8b0b0b0bbbb+8bbbb0b0b+2b-3bpb-8b0b0b0bbbb+9bbbb0b0b+2b-3bpb-9b0b0b0bbbb+10bbbb0bpb-12b0b0b0b-2b0b0bpb+9b0b0b0bbbb-9bbbb0b0b0b0bpb+8b0b0b0bbbb-9bbbb0b0b0b0b+8b0b0b0b0bbbb-9bbbb0b0b0b0bpb+8b0b0b0bbpbb-9bbbbbbpbb+12b+2b+2b+1bbbbpb-3b-2b-2b-1bbbb0b+5b-2b-2b0b+4b-2b-2b-1b+5b-2b-2b-1b+5b-2b-2bpbb-7bbbbbbpbb0bbbbbbpbb-1bbbbbbpbb-2bb-1bbpbb
78,pourtoi,b0b-7b0bbpbbb0+2p+1bbb-1b-2b+7b-7b0bbpbbbbbb0+2+1bb0b-1b-2b+7bbb+5bbbbbbbb-2b0bb0b+2b-2bb-2b-1b0bb
79,whereareyou,pbb+2bb+1bbbb-1bb0bbbbbb-2bb0bb0bbbbpbbbb+2bbbb0bb+1bbbb-1bbbb-2bb0bbbbpbbbb0bb+2bb+1bbbb-1bb0bbbb+3bbbbbb-3bbb0b-2bbbbpbbbbbbbb+3bb-1bbbb-2bb0bbbbbbbbpbbbbbbbb
80,sadness,bbbb-1bbbb-2bbbb-5bbbb-4bb+4bb-2bbbbbbbbbbbb0bbbbbbbbbbbb+9bbbbbbbb-3bbbb-4bbbb-2bbbb-2bb-1bb-2bbbbbbbbbbbb0bbbbbbbbbbbb+15bbbbbbbb-1bbbb-2bbbb-5bbbb-4bb+4bb-2bbbbbbbbbbbb0bbbbbbbbpbbbb+2bbbb+2bbbb+2bbbb+3bbbbbbbb-3bbbb+1bbbbbbbbbbbb0bbbbbbbbpbb0bb-2bb+2bb-2bbbbbb-5bbpbbbbbbbbbbbb+3bbb-1b0bbbbbb0bbpbbbbbbbbbbbb+3bb+2bb-2bbbbbbpbb
81,littlespanishtown,b-9b+5b+4b0b-2bb-2b+4b-9b+5b+4b+5b-7bb0b-2bbbbbb+2bbpbb0b-7b+4b+3b0b0b-3bpb+3b-7b+4b+3b0b0b-3bpb+1bbpbb0bbpbb0bb-8b+5b+2b-2bpbb+3bb-8b+5b+2b-2bpbb+2bb-7bbbbbb0bbbbbbpbb+7bbbb-7b+7b-2b-2b+4bbbb-7b+7b-2b-2b+2bb-5bbbbbb0bbbbbbpbb
82,someday_prince,bbbb+5bbbb-4bb+3bbbb-2bb0bbbbbb0bbbbbb+8bbbb-4bb+3bbbb-2bb0bb+2bb+1bb+2bb0bb0bb+4bb0bb0bb-4bbbbbb0bb-3bb+1bb+2bb0bb0bb+4bb0bb0bb-4bbbbbb0bbpbb-12bbbbbb+5bbbb-4bb+3bbbb-2bb0bbbbbb0bbbbbb+8bbbb-4bb+3bbbb-2bb0bb+2bb+1bb+2bbbb0bb+7bbbb-2bb-11bbb+1b-1b+1b+9bbbb-2bb-2bb0bb0bb0bbbb0bb0bbbbbb0bbbbbb
83,loopdilove,pbbbbbbbbbbbbb0b+2b+2b-4bbpbbbbbbbb0bbb0b+2b+2b-4bbpbbbbbbbb+2bbb+2b+1b-1b-2bbpbbbbbbbb-2bbb0b+2b+2b-4bbpbbbbbbbb-3bbb+2b+1b-1b-2bbpbbbbbbbb0bbb+2b+1b-1b-2bbpbbbbbbbb+3bbb0b+2b+2b-4bbpbbbbbbbb0bbb0b+2b+2b-4bb
84,heartbeat,bb-2bb-3bb-2bb-2bb-3bb-2b+2b+3b-3b
85,keeponsinging,bb0bb0bb-2bb-2bb+2bbbbbb-4bb+4bb-2bb-2bb+4bbbbbb0bb-2bbbb0bbbb0bbbb0bb0bb+2bb-7bbbbbbbbbbbb+5bbbb0bb-2bb-1bb+3bbbb0bb+5bbbbbbbbbbbbbb-2bbbb-1bbbbpbb0bbbb-2bbbb-2bbbb+4bbbbbbbbbbbbbbbb0bb0bb0bb0bb0bbbbbb0bb0bb0bbbbbbbbbb0bb0bb-2bb0bbbb0b0b0bb+2bbbb-2bb-5bbbbbbbbpbbbb+5bb0bb0bbbb0bbbb0bb+5bb0bbbb0bb0bb0bbbb-2bb-1bbbb0bb0bb0bb-2bb-2bb+2bbbbbbbbbb-4bb0bb0bb0bb0bbbbbb+2bbbbbb+1bb0bbbbbb0bbbb-1bbbb-2bbbbbb+2bb0bbbb
86,bisschenfrieden,pbbbb0bb+1b+2bb0bb0b+2bb-2b+4bb0bb0b0bb+1b+2bb0bb-2b-1bb-2b0bb-2bb-3b0bb+1b+2bb0bb0b+2bb-2b+4bb0bb0b0bb+1b+2bb0bb-2b+4bb-2bb-2bbb-8b0bb+1b+2bb0bb0b+2bb-2b+4bb0bb0b0bb+1b+2bb0bb-2b-1bb-2b0bb-2bb-3b0bb+1b+2bb0bb0b+2bb-2b+4bb0bb0b0bb+1b+2bb0bb-2b+4bb-2bb-2bbbbbbb
87,el_rancho_anonymous,b+12bpb0b0bpb-1b0bpb-2bb+3bpb+2b-2b+2b+1b+1bb-6bb0bbpb-10b+2b-2b-1b+1bpbb+10bpb-3bbpb-7bpb+2bpb-2b+2bpb-2b+9bpb-4bb-5b+2b-2bpb-3b+3b+5bb+4bb0b-9bb+5b+4bpb+3bbbb-2bb-1bb+3b-8bbb0b-4b+4b+3bb+9bbbb-2bb-2bb-2b-1bbpbb0bpb-9b+5b+4bpb+3bbbb-2bb-1bb+3b-8bbb0b-4b+4b+3b+9bbbb-2bb-2bb-2b-1bbpb
88,blessees,pbbbbbbbbbbb+1b+2bbbbbbbbbb+2bb-5bbbbbbbbbb+1bb-3bbbbbbbbbb+2b+1b-3bbbbbbbbbb+2b+1b
89,shalom,bbbb+12bbbb0bb0bbbb0bb+1bbbb-1bb-4bbbb+4bb+1bbbb-1bb-2bbpbb0bbbbpb0bbpbb-10bbpbbbb0bb+10bbbb0bb0bbbb0bb+2bbbb-2bb-3bbbb+3bb0bbbbpbb0bb-3bb+2bbpbbbb+1bb-1bbbbpbb-1bb0bpb-3bbpbb+12bbbb0bb0bbbbpbb0bb+2bbbbpbb-2bb-3bbbb+3bb+2bbbb-2bb-4bb+3bbpbbbb+1bbpbb-5bbbbbbpb0bb0b-12bb+12bbbb0bb0bbbb0bb+1bbbb-1bb-4bbbb-1b-1b-1bb+2bb+1bb+1bb+3bb-2bb+5bbbb-3bbpbbbbb-4bbbb-1bpb-1bpb-1bb+2bb+1bb+1bb+3bb-2bb+9bbbb-3bb-3bbbb-1bb+3bbbb-3bb-3bb+1bbb-3b-5bbbbbbbbbbbb
