Song1;Song2;rapSong1;rapSong2;cosine;jaccard;sor dice;over coe;jaro;Clustering
messiah;fence;pbb-1bb-2b-2bb+2b+2bbb+1bbb+2bb-3b+3bbb0bb0b-2bb-1b-2bbbbbb0bbb+3bb-1b-2bbbbbb0bbbpbb+3bb-1b-2bb+2b+1bbb+2bbb+2bb-4b+4bbb0bbb+2bbb+1bb-5b-3bbb0bbb+3bb-2b-1bbbbbb0bbbpbb0bb-2b-2bb+2b+2bbb+1bbb+2bb-3b+3bbb0bbb+2bbb+1bb0b-1bb-2b-2bbb-1bbb+5bbbbbb0bbpb;pbbbbbbbb+5bbbb+2bbbb+2bbbb0bbb-1b+1bbbb0bbb-1b+1bbb-2b-2bbb+2b+2bbbbbbbb0bbbbbbbb+1bbbb-1bb-2bb0bbbbbbbbbbbb-3bbb+1b+2bbbb0bbb-1b+1bbbb0bbb-1b+1bbb-2b-1bbb+1b+2bbbbbbbb+5bbbbbbbb0bbbbbb-2bb-1bbbbbbbbbbbb-4bbb+2b+2bbbb0bbb-1b+1bbbb0bbb-1b+1bbbb0bbbb-2bb-2bbbbbb+5bbb-1b+1bbb0b+4bbb-5b+1bbb+2b+2bbb-1b+1bbbb-2bb-2bbbbbb-1bbb-1b+1bbb+1b+2bbb-1b+1bbb+2b+1bbbb-1bbbb-2bb-2bbbbbb-1bbbbbbbb0bbbb-2bb-2bb0bbbb0bbbb0bbbb0bbbb0bbbb-3bbb+2b+1bbb-1b-2bbb+2b+1bbb-1b-2bbb+2b+1bbb+2b-2bbb-3b-2bbbbbbbbbbbbbbbb;0.6842968850192396;0.47619047619047616;0.6451612903225806;0.967741935483871;0.7147697620011697;1
shepherd;beginthebeguine;pbbbbbbbbbbbbbbbbbb+5bb+2bb+1bb+3bbbbbb+1bbbbbb+2bb-2bb-1bb-3bbbbbb-1bbbb0bb-2bb-1bb-3bb+3bbbbbb-4bbbbbb+1bb-1bb-2bb+2bbbbbbbbbbbbpbb+6bb0bb+2bb+2b0b+2bbbb-2bb+2bbbbbb0bbbbbb+2bbbb-2bb-1bb0bb0bbb-5bb-3bb+5bbpb+2bbbb-3bb-2bb-3bb+5bb-2bb0bbbbpbbbbbbbbbbbbbbbbbb;pbbbbbbbbbbbbbbbbbbbb+2bbbb+5bbbbbbbb0bbbbbbbb0bb-3bbbb-2bb+2bbbbbbbbbbbbbbbb0bbbbbbbb+1bbpbb-5bbbb0bbbb+2bbbb+7bbbbbbbb+2bbb-2b+2bbb-2b+2bbb-2b+2bbb+1b+2bbb-1b+1bbbb-2bb-1bbbbbb-2bbb-1b+1bbb+2b+1bbb-1b+1bbb+2b+1bbbb-1bbbb-2bb-1bbbbbb-2bbbbbbbb0bbbb-2bb-2bb0bbbb0bbbb0bbbb0bbbb0bbbb-3bbb+2b+1bbb-1b-2bbb+2b+1bbb-1b-2bbb+2b+1bbb+2b-2bbb-3b-2bbbbbbbbbbbbbbbb;0.8200200401533435;0.680327868852459;0.8097560975609757;0.9613899613899614;0.8106375003288498;1
amothersprayer;myownsweet;bb+5bb+2bbpbb+1bb-1b-2bbbbbbbb0bb-1bb+1b+2bbb-5b+2bbbbbbbbpbb-4bb+10bb-2b-1bbbbbbbb0bb-2bb+2b+1bbb-1b-2bbbbbbbbpbb-5bb+12bb-2b-2bbbbbbbb0bb+2bb+2b+1bb-1b-2bbbbbbbb0bb+2bb+1b-1bb-12bb+4bb+3bb+5bb-2bb-3bbbb-2bbbbbbbbbbbb-5bb+5b+2b+1bbb-1b-2bbbbbbbb0bb-1b+1b+2bbb-5b+2bbbbbbbbpbb-4bb+10bbb-2b-1bbbbbbbb0bb-2b+2b+1bbb-1b-2bbbbbbbbpbb-5bb+12bbb-2b-2bbbbbbbb0bb+2b+2b+1bbb-1b-2bbbbbbbb0bb+2b+1b-1bb-12bb+4bb+3bb+5bb-2bb-2bbbb-3bbbbbbbbbbbbpbbbb;b+2b+2bpb+1bbb+2b+2b+5b-2b-3b-2bb-5bbpb0b+5b-2b-1bbb+1b+2b+7b-2b-5b+1bb+1bbpb-9b+2b+2b+1bbb+2b+2b+5b-2b-3b-2bb-5bbpb+12b+2b-2b-2bbb-1b-1b-3b-5b+2b+1bb0bpb-1b+1b+2b+2bbb+1b-1b-2b-2b-1b+3bb-2bbpb-1b+1b+1b+1bbb-5b+8b-1b-2b-2b-1bbbbpb-4b+2b+2b+1bbb+2b+2b+5b-2b-3b-2bb-5bbpb+12b+2b-2b-2bbb-1b-1b-3b-5b+2b+1bb0bpb;0.7881186409552066;0.6337719298245614;0.7758389261744967;0.9413680781758957;0.7413409333387614;0
sadness;youdbesonice;bbbb-1bbbb-2bbbb-5bbbb-4bb+4bb-2bbbbbbbbbbbb0bbbbbbbbbbbb+9bbbbbbbb-3bbbb-4bbbb-2bbbb-2bb-1bb-2bbbbbbbbbbbb0bbbbbbbbbbbb+15bbbbbbbb-1bbbb-2bbbb-5bbbb-4bb+4bb-2bbbbbbbbbbbb0bbbbbbbbpbbbb+2bbbb+2bbbb+2bbbb+3bbbbbbbb-3bbbb+1bbbbbbbbbbbb0bbbbbbbbpbb0bb-2bb+2bb-2bbbbbb-5bbpbbbbbbbbbbbb+3bbb-1b0bbbbbb0bbpbbbbbbbbbbbb+3bb+2bb-2bbbbbbpbb;bb+5bbpbbbb-2bbbbbbbb0bbbb-1b-2bb-1b+1bbbb-5bbbb0bbbb-1bb+1bb+5bbbbbbbb-2bbbb0b-3bb-2b-2bbbbbbbb0bbbb+2bb+2bb+1bbbbbb0bb-1bbbb0b+4bb+3b+3bbbbbb-3bb+1bbbb0b+2bb+1b+1bbbbbb-4bb+3bbbb-3bbb-1b0bbbbbbbb0bbbb-2bb+2bb+1bbbbbbbb-1bbbb0b-2bb-1b+1bbbb-5bbbb0bbbb0bb+1bb+4bb+3bb-3bbbb;0.8216779502984229;0.6918767507002801;0.8178807947019867;0.9047619047619048;0.7987779461141779;1
twilightwaltz;calledlove;pbbbb0bb-12bbbbbb+24bbpbb-24bb-2bb+2bbpbb+10bb0bb-12bbbbbbpbb+12bb0bb-12bbbbbbpbb+12bb0bb-12bbbbbb+24bbpbb-24bb-3bb+3bbpbb+11bb+12bb-24bbbbbb+24bb-12bb0bb-12bbbbbbpbb+10bb+12bb-24bbbbbb+24bbpbb-24bb-2bb-3bbpbb+20bb+12bb-30bbbbbb+30bbpbb-30bb-2bb-2bbpbb+10bb+12bb0bbpbb+2bb+2bb+3bb-12bb-12bbpbb+21bb+3bb-12bbbbbb+12bbpbb-12bb-3bb+3bb+7bb0bb+4bbpbb0bb-12bbbbbb-6bb+2bb+2bb+2bbbbbb0bb+1bb-1bb-7bbbbbbpbb+17bb+3bb-15bbbbbb+17bb-2bb-3bb-12bbbbbbpbb+10bb0bb-12bbbbbb+12bbpbb-12bb-2bb-3bbpbb+14bb+3bb-15bbbbbb+17bbpbb-17bb-2bb-2bbpbb+11bb+12bb-24bbbbbb+24bbpbb-24bbpbb+13bb+2bb+15bbbbbb-20bbb+2b0b+1b+4bbb-2b0b-1b+3bbb-2b0b-1b+1bbbbbb-10bbb+1b+1b+1b+4bbb-2b0b-1b+3bbb-2b0b-1b+1bbbbbb;bbpbb-6bb-3bb0bbbb0bbbb+3bbbb-2bbbbbbbbpbbbb0bb0b-1bb0b0bbbb0bbbb-4bbbb+1bbbbbbbbpbbbb+6bb0bb-3bb0bbbb0bb+3bb0bbb-1b-1bbbbbbbbpbbbb0bb0b-1bb0b0bbbb0bb-4bb0b0bbb-3bbbbbbbbpbbbb+15bb0bb-3bb0bbbb0bb+3bb0bb+2bb-3bbbbbbbbpbbbb0bb-2bb-4bb0bbbb+1bb+3bb0bb-2bb-3bbbbbbbbpbb+3bb0bb0bb0bb-3bb0bbbb0bb+3bb0b+2bb-2b-2bbbbbbbbpbbbb0bb0bb-1bb0bbbb0bbbb+8bbbb;0.6884707827604145;0.48255813953488375;0.6509803921568628;0.9651162790697675;0.7384255613343701;1
tonighthesailedagain;iloveyouyesido;pbbbb-8bb+1bb+11bbb-2b0bbbbpbb-4bb-4bb+1bb+7bbb-2b0bbbbpbb-3bb+5bb-2bb0bbb0b-2bb+4bb-5bb-2bb-2bb+2bb+2bbbbbbbbpbb+3bb-8bb+1bb+11bbb-2b-4bbbb;pbbbb0bb0bb0bbb-3b0bbbb0bb+2bb0bb0bb0bbb-4b-4bbbbbb-3bb+5bb-2bb0bbb-2b0bbbbpbbbb-5bb+2bb;0.7387687194103584;0.5616438356164384;0.7192982456140351;0.9318181818181818;0.7619417168197655;0
thehappywhistler;sanfranciscobrewingad;bbbb0bbbb+5bb0bbpbb0bbbb+4bbbb+3bb+2bb-2bb-7bbpbb+4b-2bb-2bb-3b-2bbbb+9bbbb0bbbb-4bb+2bbpbbbbbbbb-7bb0bbbb+5bbbb0bbbb+4bbbb+3bb+2bb-2bb-2bb-1bb-2bb-2bb-3bb-2bbbb+9bbbb0bbbb-2bb-2bbpbbbbbbbb+7bb+2bb0bb+3bbbb0bbbb-3bbbb-2bb+2bb-2bb-3bb0bb-2bb-2bb0bb+4bbbb+3bbbb0bbbb-3bb+3bbpbbbbbbbb0bbbb+2bb0bb+3bb0bb0bbbb-3bbbb-2bb+2bb-2bb-3bb0bb-2bb-2bb-3bb-2bbbb+9bbbb0bbbb-2bb-2bb;bb+3bb0bb+2bb+3b-3b+3b0bb-2b-3b-4b+4bbbbpb+3b+2b-2b+3b-1b-2b-2b+2bb+2bb-14bb+4bb0bb+3bb+5b+2b-2b-3b0b-2b-2b-3b-2bb+12bb0bb-2b-1bpbbbbbb-5bb+5bb0b;0.6112263654571317;0.38005390835579517;0.55078125;0.9724137931034482;0.6649692835766591;1
muehlebachbeersmith;timeformuehlebach;bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb-7bb+5bbbbbbbbbb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-2bbbbbbbbbb-1b+1b+2bb-3bb-2bbbbbbbbbbbbbb-5b0b+12bbbbbbbb0bb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-2bbbbbbbbbb-1b+1b+2bb-3bb+1bbbbbbbb;bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbbpbbbb-10bpb+3b0bbbb-2bb+2bbbbbbbbbbbbbbbb-2bbbb-1bpb+1bpb+2bbbb-3bbbb+1bbbbbbbbbbbbbbbb0bbbb;0.8018970858983525;0.6690909090909091;0.8017429193899782;0.8177777777777778;0.7937588257153475;0


